Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,인제대학교,998,"1,152",584,660,1,0,0,0,0,0,11,6,19,24,77,98,306,364,66.1,36,45,6,25
2021,인천가톨릭대학교,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2021,인천가톨릭대학교 _제2캠퍼스,27,111,12,66,0,0,0,0,0,2,0,4,4,7,2,6,9,26,73.1,0,1,0,0
2021,인천대학교,"1,556","1,411",923,697,3,1,0,1,0,0,11,12,57,91,150,136,412,473,67,54,36,3,3
2021,인하대학교,"2,401","1,561","1,338",827,9,7,0,0,0,0,30,12,72,78,363,201,589,436,69.8,47,51,5,14
2021,장로회신학대학교,90,83,0,0,0,0,0,0,0,0,0,0,0,0,90,83,0,0,0,0,0,0,0
2021,전남대학교,"1,941","2,043","1,005",900,1,1,1,2,5,15,26,15,50,87,234,210,619,813,59.5,12,8,21,29
2021,전남대학교 _제2캠퍼스,342,205,184,85,0,0,0,0,0,0,1,2,9,5,28,17,120,96,57,4,0,5,8
2021,전북대학교,"2,169","1,915","1,164",810,0,0,7,1,1,5,17,16,38,67,259,229,683,787,59.1,37,29,23,21
2021,전주교육대학교,79,226,23,135,0,0,0,0,0,0,0,0,0,4,19,1,37,86,56.8,0,0,0,0
2021,전주대학교,"1,104","1,281",539,582,1,0,2,0,0,4,12,12,29,42,135,143,386,498,58,25,15,38,51
2021,제주국제대학교,155,96,87,50,0,0,1,0,0,0,8,1,5,5,15,1,39,39,66.8,40,10,0,0
2021,제주대학교,882,"1,182",449,503,1,1,0,0,0,0,13,22,19,41,113,97,287,518,56.6,24,42,12,14
2021,조선대학교,"2,330","2,269","1,169",999,6,15,1,0,5,21,21,25,75,74,193,164,860,971,56.8,45,40,39,53
2021,중부대학교,824,883,465,478,0,0,2,0,0,1,7,5,45,38,91,81,214,280,67.8,19,19,7,12
2021,중앙대학교,"2,621","2,563","1,455","1,366",1,1,0,0,1,0,30,20,106,108,365,428,663,640,70.3,69,180,14,7
